# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
1.050e+02, 5.000e-01, -4.050e+02, 4.106e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.227e+02, 1.006e+03, 8.448e-02
1.050e+02, 5.000e-01, -3.750e+02, 4.076e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.246e+02, 1.006e+03, 8.451e-02
1.050e+02, 5.000e-01, -3.450e+02, 4.047e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.262e+02, 1.006e+03, 6.763e-02
1.050e+02, 5.000e-01, -3.150e+02, 4.017e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.275e+02, 1.007e+03, 6.764e-02
1.050e+02, 5.000e-01, -2.850e+02, 3.987e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.289e+02, 1.007e+03, 6.765e-02
1.050e+02, 5.000e-01, -2.550e+02, 3.958e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.304e+02, 1.007e+03, 6.767e-02
1.050e+02, 5.000e-01, -2.250e+02, 3.928e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.320e+02, 1.007e+03, 6.769e-02
1.050e+02, 5.000e-01, -1.950e+02, 3.899e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.338e+02, 1.007e+03, 6.770e-02
1.050e+02, 5.000e-01, -1.650e+02, 3.869e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.358e+02, 1.008e+03, 6.772e-02
1.050e+02, 5.000e-01, -1.350e+02, 3.844e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.382e+02, 1.008e+03, 5.928e-02
1.050e+02, 5.000e-01, -1.050e+02, 3.829e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.402e+02, 1.008e+03, 3.388e-02
1.050e+02, 5.000e-01, -7.500e+01, 3.799e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.416e+02, 1.009e+03, 3.389e-02
1.050e+02, 5.000e-01, -4.500e+01, 3.769e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.430e+02, 1.009e+03, 3.390e-02
1.050e+02, 5.000e-01, -1.500e+01, 3.739e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.445e+02, 1.009e+03, 3.390e-02
1.750e+02, 5.000e-01, -1.185e+03, 4.602e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.874e+02, 9.983e+02, 3.354e-08
1.750e+02, 5.000e-01, -1.155e+03, 4.626e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.894e+02, 9.985e+02, 3.355e-08
1.750e+02, 5.000e-01, -1.125e+03, 4.692e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.933e+02, 9.990e+02, 3.357e-08
1.750e+02, 5.000e-01, -1.095e+03, 4.769e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.978e+02, 9.995e+02, 2.099e-02
1.750e+02, 5.000e-01, -1.065e+03, 4.758e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.993e+02, 9.999e+02, 8.399e-02
1.750e+02, 5.000e-01, -1.035e+03, 4.728e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.005e+02, 1.000e+03, 8.402e-02
1.750e+02, 5.000e-01, -1.005e+03, 4.699e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.018e+02, 1.001e+03, 8.405e-02
1.750e+02, 5.000e-01, -9.750e+02, 4.669e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.034e+02, 1.001e+03, 8.408e-02
1.750e+02, 5.000e-01, -9.450e+02, 4.640e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.052e+02, 1.001e+03, 8.412e-02
